Rate_Scenario,Event_Hours,Capacity_Revenue,Energy_Revenue,Total_Revenue
Low,0,27179657.7035117,0.0,27179657.7035117
Low,10,27179657.7035117,3306870.108643631,30486527.812155332
Low,20,27179657.7035117,6346163.063419243,33525820.766930945
Low,30,27179657.7035117,9243015.256476447,36422672.95998815
Low,40,27179657.7035117,12003998.07606075,39183655.77957245
Low,50,27179657.7035117,14641937.869190535,41821595.57270224
Low,60,27179657.7035117,17235656.842021376,44415314.545533076
Base,0,27989920.31409036,0.0,27989920.31409036
Base,10,27989920.31409036,3306870.108643631,31296790.422733992
Base,20,27989920.31409036,6346163.063419243,34336083.3775096
Base,30,27989920.31409036,9243015.256476447,37232935.5705668
Base,40,27989920.31409036,12003998.07606075,39993918.39015111
Base,50,27989920.31409036,14641937.869190535,42631858.18328089
Base,60,27989920.31409036,17235656.842021376,45225577.15611173
High,0,28800182.92466902,0.0,28800182.92466902
High,10,28800182.92466902,3306870.108643631,32107053.033312652
High,20,28800182.92466902,6346163.063419243,35146345.988088265
High,30,28800182.92466902,9243015.256476447,38043198.18114547
High,40,28800182.92466902,12003998.07606075,40804181.00072977
High,50,28800182.92466902,14641937.869190535,43442120.79385956
High,60,28800182.92466902,17235656.842021376,46035839.766690396
